ENSG00000119899,-1.909809785,3.47E-73
ENSG00000105246,8.512176281,4.13E-73
ENSG00000123700,4.563427043,7.66E-73
ENSG00000155629,2.906193805,2.05E-72
ENSG00000170142,1.552265835,3.99E-72
ENSG00000143933,-2.418813793,4.74E-72
ENSG00000152503,2.423706766,8.98E-72
ENSG00000117020,2.780919875,2.04E-71
ENSG00000102794,10.57274076,8.95E-71
ENSG00000141968,2.373305511,1.24E-70
ENSG00000156273,2.359269736,1.46E-70
ENSG00000136286,2.913823476,5.39E-70
ENSG00000153551,-2.946235186,7.33E-70
ENSG00000100644,3.6565524,1.25E-69
ENSG00000134453,2.350989145,2.23E-69
ENSG00000196396,2.622987157,2.36E-69
ENSG00000101017,4.898438455,3.39E-69
ENSG00000242732,-2.682240186,3.75E-69
ENSG00000173812,1.703781829,1.41E-68
ENSG00000149177,2.787859616,1.88E-68
ENSG00000147443,-3.930432368,1.92E-68
ENSG00000120217,7.14576969,3.19E-68
ENSG00000100219,1.990320056,5.10E-68
ENSG00000254087,2.772750231,2.17E-67
ENSG00000149798,4.385621423,3.04E-67
ENSG00000023445,3.96540199,6.08E-67
ENSG00000251230,9.837682826,7.86E-67
ENSG00000101421,1.307546783,2.02E-66
ENSG00000168734,4.831733705,3.07E-66
ENSG00000105849,2.583900117,1.25E-65
ENSG00000125657,6.600857535,1.32E-65
ENSG00000152229,4.867456193,2.68E-65
ENSG00000253522,6.217071003,4.48E-65
ENSG00000125753,1.992512345,6.74E-65
ENSG00000135842,4.159905784,4.28E-64
ENSG00000116711,2.619928223,6.25E-64
ENSG00000125744,2.51606455,6.49E-64
ENSG00000155115,1.168702781,1.00E-63
ENSG00000004799,-5.236250234,1.75E-63
ENSG00000010818,6.554152173,2.17E-63
ENSG00000038210,3.210251714,2.31E-63
ENSG00000168209,4.107197019,4.11E-63
ENSG00000130304,-4.788945534,4.59E-63
ENSG00000172725,-2.433544775,6.83E-63
ENSG00000234883,7.631117026,7.12E-63
