,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000001461,66.5340368332043,1.06673490460505,0.284452610881305,3.75013223221976,0.000176741344498279,0.000614481471216045,1.06673490460505,2.09468731977672
ENSG00000002330,68.5986441114783,1.32491263007492,0.22868297095351,5.79366545987486,6.8866572037397e-09,5.63739467709492e-08,1.32491263007492,2.5051771585813
ENSG00000002549,2041.67224543483,-1.56466030426243,0.381943783633972,-4.09657224782035,4.19312665005241e-05,0.000166809596736785,1.56466030426243,-2.95807842988055
ENSG00000002834,4972.15247718208,1.70927253591103,0.108524558030326,15.7500990276634,6.85738491308872e-56,5.49779406432033e-53,1.70927253591103,3.26995897538054
ENSG00000003400,238.849435566081,-1.16432647352423,0.32714233381375,-3.55908225007378,0.000372152979325329,0.00120406557152715,1.16432647352423,-2.24128556093498
ENSG00000003402,4126.15752580837,-1.07725711825173,0.192437512776677,-5.59795802132341,2.16891250963864e-08,1.63020886505714e-07,1.07725711825173,-2.11002065017803
ENSG00000004468,307.455648175111,-1.42358975892044,0.446673642149326,-3.18709147929648,0.00143711313574973,0.00402579142104035,1.42358975892044,-2.68252154632086
ENSG00000004478,1255.05937960204,1.18131590520521,0.0927977547683826,12.7300052480116,4.02812117398731e-37,8.80767004334025e-35,1.18131590520521,2.26783535638431
ENSG00000004660,87.3886917911431,2.3975846445061,0.326345213182956,7.34677435934065,2.03047206060969e-13,3.33130382003986e-12,2.3975846445061,5.26920257200088
ENSG00000004809,27.2666323877492,2.25853479573146,0.461154919283528,4.89756197166979,9.70330371784396e-07,5.33326921895756e-06,2.25853479573146,4.78505263984905
ENSG00000004846,71.8164616263977,2.29583873785698,0.416125410427178,5.51717987012656,3.44482811680043e-08,2.5099069100639e-07,2.29583873785698,4.91039382901843
ENSG00000004975,168.454340239406,1.14989696745666,0.192930753988609,5.96015380484416,2.52000635680837e-09,2.18025873719262e-08,1.14989696745666,2.21898046617696
ENSG00000005238,560.403465253513,1.34402427246874,0.141789535113644,9.47900895077695,2.56709501447149e-21,1.11049944762713e-19,1.34402427246874,2.53858448182399
ENSG00000005448,9.61580865298286,1.91588200150736,0.510224111485132,3.75498130797997,0.000173354415169156,0.000603403819630757,1.91588200150736,3.77344435972851
ENSG00000005469,23.1627574898365,1.43436841215972,0.407413943367063,3.52066598483454,0.000430464482179317,0.00137387629052242,1.43436841215972,2.70263823706314
ENSG00000005486,882.306025704289,2.01065782126221,0.285326262339836,7.04687260392254,1.82983703254319e-12,2.62283911243914e-11,2.01065782126221,4.02965917281116
ENSG00000005844,1641.19754641045,3.05826468268623,0.248924474408938,12.2859139903698,1.07819509036858e-34,1.93527972489142e-32,3.05826468268623,8.32970084201242
ENSG00000005882,35.8726045879563,1.40980595551681,0.383477843107449,3.67636874165319,0.000236577492933203,0.000801431247891466,1.40980595551681,2.65701423206046
ENSG00000006007,674.193931218897,1.30841798298729,0.158878644986038,8.23532944343951,1.79064186800566e-16,4.47697694483078e-15,1.30841798298729,2.4766980359291
ENSG00000006062,185.578552177504,1.18811398103577,0.209857563402672,5.66152566422412,1.50033062511928e-08,1.16623504713288e-07,1.18811398103577,2.27854676536404
ENSG00000006118,26.6952957505613,1.52012601517008,0.580353902421694,2.61930868186967,0.00881081796851186,0.0197279644180457,1.52012601517008,2.86816101052209
ENSG00000006327,44.0657726094413,1.16532025684741,0.454241468496379,2.56542023938244,0.0103050910837343,0.0226271727903942,1.16532025684741,2.2428299757063
ENSG00000006534,677.428120505543,1.40623533506021,0.156478955011182,8.98673776904835,2.54677344260753e-19,8.87753548428933e-18,1.40623533506021,2.65044634449706
ENSG00000006704,49.947773477473,1.15162613427615,0.32782811812392,3.51289615078359,0.000443250686316523,0.00140907553625232,1.15162613427615,2.2216416576615
ENSG00000006747,174.598938190632,-1.78851818617074,0.328387053789178,-5.44637239968345,5.14074507228281e-08,3.60481634048239e-07,1.78851818617074,-3.4545988318182
ENSG00000007038,39.688539530758,-1.95012708612287,0.377369759027123,-5.16768246387943,2.37014538231423e-07,1.46096198706873e-06,1.95012708612287,-3.86408568564995
ENSG00000007255,109.041237903133,-1.25589170630726,0.279308302325388,-4.49643528620992,6.91021982425284e-06,3.24238406580042e-05,1.25589170630726,-2.38814710481769
ENSG00000007350,21.417453250467,-2.33407770379252,0.480607958065669,-4.85651072692726,1.19472312140329e-06,6.45741135190831e-06,2.33407770379252,-5.04228513732644
ENSG00000007968,18.4332875945094,2.87757373891805,0.738694160854323,3.89548732264249,9.8001488267686e-05,0.000361301624128508,2.87757373891805,7.34913136041628
ENSG00000008118,37.0724739563222,-1.86177073204352,0.334113581915815,-5.57226893132596,2.51442872466185e-08,1.87003833288704e-07,1.86177073204352,-3.63453483256958
ENSG00000008294,2938.45374447346,-1.05302272459985,0.175819782447002,-5.98921640070431,2.10854456396716e-09,1.84820385759978e-08,1.05302272459985,-2.07487255521293
ENSG00000008441,35.5398545565113,-1.43965627340915,0.262713050699594,-5.47995719883503,4.25428738969451e-08,3.04536072312299e-07,1.43965627340915,-2.71256230147627
ENSG00000008516,132.593962467805,1.28302473418223,0.351643049408674,3.64865660316555,0.000263615190530837,0.000883566410625375,1.28302473418223,2.43348643764516
ENSG00000010030,24.9694808185013,-3.33628053684514,0.557494718477906,-5.98441640120644,2.17167092424091e-09,1.89800250980532e-08,3.33628053684514,-10.0999800406423
ENSG00000010278,8982.15461131088,-2.39772551162085,0.207531788171449,-11.5535337152302,7.08463526278775e-31,8.60604279497833e-29,2.39772551162085,-5.26971709071836
